task,round,client_id,quality_score,delta_accuracy,js_to_global,update_l2_distance_to_mean,update_cosine_distance_to_mean,normalized_entropy,class_imbalance_ratio,form,raw_lambda_score,predicted_delta_accuracy,lambda_weight,effective_quality_score
CIFAR-CNN,1,0,0.3797932060879861,-8.859999999999996,0.0580468695814876,13.75611164186514,0.1722569864317569,0.9024849063615882,14.881028938906752,form_a,0.3256378162842248,3.9143887253212806,1.2638173092194547,0.47998922777794845
CIFAR-CNN,1,1,0.4725582157918703,3.3000000000000007,0.1270531045453642,10.843797935305078,0.2776991648898612,0.7967189924583488,55.67142857142857,form_a,0.029531714848283274,1.801563973039743,0.9720675871597781,0.4593585246173331
CIFAR-CNN,1,2,0.5109555754926945,3.629999999999999,0.201348809759172,11.48306679166397,0.5613343419712038,0.6629176105093934,1414.6666666666667,form_a,-0.24202571722023597,-0.13609709290253824,0.7641151036207668,0.39042887251320885
CIFAR-CNN,2,0,0.3786429817882044,0.4399999999999977,0.0580468695814876,19.25620309912353,0.0955648683124801,0.9024849063615882,14.881028938906752,form_a,0.3773799524340563,4.283587689689584,1.2839741883835971,0.4861678152286549
CIFAR-CNN,2,1,0.4462961994280587,8.269999999999996,0.1270531045453642,12.736837339663197,0.1496129766104875,0.7967189924583488,55.67142857142857,form_a,0.053749090416010385,1.974363757598932,0.9637682899102422,0.43012612491622054
CIFAR-CNN,2,2,0.5285140145766176,2.679999999999996,0.201348809759172,12.78866007483165,0.1702329689360331,0.6629176105093934,1414.6666666666667,form_a,-0.22577916319721975,-0.020172019718817102,0.7522575217061607,0.39757864279238003
CIFAR-CNN,3,0,0.3903128796352832,2.219999999999999,0.0580468695814876,18.212485306407164,0.0905607154651734,0.9024849063615882,14.881028938906752,form_a,0.3687399129986958,4.221937865213855,1.2812057642147758,0.5000711112359928
CIFAR-CNN,3,1,0.5119049114131229,8.690000000000001,0.1270531045453642,12.007773940626082,0.1043328740156807,0.7967189924583488,55.67142857142857,form_a,0.04484231122049764,1.9108106478989728,0.9614629216595474,0.4921775917391329
CIFAR-CNN,3,2,0.4965830129772339,2.9400000000000013,0.201348809759172,12.905550963283488,0.1367311592349299,0.6629176105093934,1414.6666666666667,form_a,-0.2244004361063629,-0.010334300367283777,0.7573313141256766,0.3760778657905364
CIFAR-CNN,4,0,0.3736711736363999,4.449999999999999,0.0580468695814876,15.94942318403455,0.0492960736476605,0.9024849063615882,14.881028938906752,form_a,0.348270889406319,4.075883935587672,1.278859611416832,0.47787297191431793
CIFAR-CNN,4,1,0.4682818166700151,7.199999999999999,0.1270531045453642,10.859769042200467,0.0900803819817442,0.7967189924583488,55.67142857142857,form_a,0.02975180745057517,1.8031344138231693,0.9642885772422921,0.45155880674516474
CIFAR-CNN,4,2,0.4958555498014682,7.189999999999998,0.201348809759172,11.369667876096766,0.0920878744838317,0.6629176105093934,1414.6666666666667,form_a,-0.24351618228191604,-0.14673210332433384,0.7568518113408761,0.37528917103066717
CIFAR-CNN,5,0,0.4067167989111562,2.7600000000000016,0.0580468695814876,15.808920139152516,0.0480819476336873,0.9024849063615882,14.881028938906752,form_a,0.34691135192235395,4.066183141062175,1.281763647938185,0.5213148078501049
CIFAR-CNN,5,1,0.4871692899356116,6.949999999999999,0.1270531045453642,10.340000042231578,0.0971809427927749,0.7967189924583488,55.67142857142857,form_a,0.022432273006015434,1.7509068728348296,0.9613859344550315,0.46835770304254215
CIFAR-CNN,5,2,0.5023212138999786,2.120000000000001,0.201348809759172,11.076275260565003,0.1028642191628744,0.6629176105093934,1414.6666666666667,form_a,-0.247436735043497,-0.17470667351091262,0.7568504176067832,0.3801820205129451
Fashion-MLP,1,0,0.6656521180337691,9.290000000000006,0.049402010772776,13.17160512996679,0.1842107108300259,0.919964704848054,24.021929824561404,form_a,0.35163343861648527,4.099876947442381,1.2311594090834055,0.8195238682935725
Fashion-MLP,1,1,0.6831620397595025,4.25,0.170160006325095,8.19650800172396,0.42402862110666,0.7205285071162855,627.0,form_a,-0.17432758285334177,0.3469537232745781,0.7724002541748046,0.5276745331528178
Fashion-MLP,1,2,0.7220523668655352,1.9000000000000057,0.0994858410058798,9.448177176729724,0.515089655066373,0.8494880539494966,4197.0,form_a,0.11300103569528706,2.3971479420510375,0.9964403367417901,0.7194821035847004
Fashion-MLP,2,0,0.5606419681924173,5.229999999999997,0.049402010772776,10.616972543313675,0.062200312982709,0.919964704848054,24.021929824561404,form_a,0.31916870966737837,3.868229296255351,1.2281172129279536,0.6885340514269139
Fashion-MLP,2,1,0.6807774731674489,-8.030000000000008,0.170160006325095,6.532797607725154,0.0827556516112066,0.7205285071162855,627.0,form_a,-0.2069203918485518,0.1143921743651859,0.7704041838737247,0.524473813615185
Fashion-MLP,2,2,0.6936397075849111,2.259999999999998,0.0994858410058798,8.02124075685179,0.1277686164626813,0.8494880539494966,4197.0,form_a,0.08901739236993321,2.2260159220691325,1.0014786031983218,0.6946653254750291
Fashion-MLP,3,0,0.6444411975470818,10.550000000000004,0.049402010772776,10.313441091423757,0.0863521204942787,0.919964704848054,24.021929824561404,form_a,0.31484455473667955,3.8373748777682763,1.2319989739854043,0.7939508941719301
Fashion-MLP,3,1,0.7067802361985579,0.6500000000000057,0.170160006325095,6.0172909869409885,0.0984074192194423,0.7205285071162855,627.0,form_a,-0.21849841718330226,0.03177875170629618,0.7678859813667668,0.5427266352839648
Fashion-MLP,3,2,0.729117044455789,3.3200000000000003,0.0994858410058798,7.515573420866606,0.1557190457925157,0.8494880539494966,4197.0,form_a,0.07959592225937583,2.158790305454229,1.0001150446478286,0.7292009254693942
Fashion-MLP,4,0,0.5668853718338008,-0.0499999999999971,0.049402010772776,11.41832670705933,0.1316266345643354,0.919964704848054,24.021929824561404,form_a,0.33006352894950597,3.9459677951896364,1.2341438216950296,0.6996180792579748
Fashion-MLP,4,1,0.6916965831791353,-10.86,0.170160006325095,6.689902436946993,0.1357112082621976,0.7205285071162855,627.0,form_a,-0.20354909237454508,0.13844762253559817,0.7690389975898183,0.5319416469643846
Fashion-MLP,4,2,0.6859540545818598,-6.689999999999998,0.0994858410058798,8.02725633703842,0.1959643561328904,0.8494880539494966,4197.0,form_a,0.08912626546277223,2.2267927711927817,0.9968171807151519,0.6837707867884169
Fashion-MLP,5,0,0.6287348357430309,0.2199999999999988,0.049402010772776,11.008503724683267,0.0866402345856456,0.919964704848054,24.021929824561404,form_a,0.32458260199449596,3.906859387494439,1.2349927295958092,0.7764829509862585
Fashion-MLP,5,1,0.7118343907489926,-11.519999999999996,0.170160006325095,6.792663437639693,0.1213904051171326,0.7205285071162855,627.0,form_a,-0.20138100972649675,0.1539176809422791,0.7748034097372516,0.5515317131205586
Fashion-MLP,5,2,0.70477494864266,-4.719999999999999,0.0994858410058798,7.297552810655504,0.1410926318550959,0.8494880539494966,4197.0,form_a,0.07535990726016499,2.1285647974421806,0.9902038606669394,0.6978708750473059
AGNews-LSTM,1,0,0.4593028979430438,2.6999999999999997,0.0873468923045489,1.8199327008459876,0.2564450000162304,0.7992753712789019,65.15384615384616,form_a,-0.05513702836013136,1.1974216891496279,0.9969272563246524,0.45789157786832047
AGNews-LSTM,1,1,0.4328960918054663,0.0,0.0474562977811125,0.903041230736354,0.0851062835239162,0.8633948884283305,5.239583333333333,form_a,0.0310471607545694,1.8123772308754238,1.0760701776244121,0.46582657440202196
AGNews-LSTM,1,2,0.4310905324097126,0.0,0.1011747985253904,1.348161436043672,0.2291771871576667,0.7278418937642077,25.74418604651163,form_a,-0.13717894741006853,0.6120227512257324,0.9270025660509355,0.3996220297440676
AGNews-LSTM,2,0,0.4397153161862311,1.1000000000000014,0.0873468923045489,2.4020606230097346,0.2742912895277315,0.7992753712789019,65.15384615384616,form_a,-0.02448600506615511,1.4161278906909731,1.0038641284521073,0.44141443265033364
AGNews-LSTM,2,1,0.429961115121843,0.1999999999999993,0.0474562977811125,1.0958022287051727,0.0455668980459256,0.8633948884283305,5.239583333333333,form_a,0.04680532242239018,1.9248174469357084,1.0693477597243228,0.45977795522411447
AGNews-LSTM,2,2,0.454575692367551,0.0,0.1011747985253904,1.6960973309569691,0.1038491993571801,0.7278418937642077,25.74418604651163,form_a,-0.11461182793893165,0.7730473581996877,0.9267881118235699,0.4212953476102146
AGNews-LSTM,3,0,0.4582214783320977,0.4000000000000021,0.0873468923045489,2.8165192762564457,0.3747916069879847,0.7992753712789019,65.15384615384616,form_a,-0.005710509086377373,1.5500978847237332,1.0101967540395502,0.46289385004228917
AGNews-LSTM,3,1,0.4247171344862592,1.8000000000000007,0.0474562977811125,1.220995878352002,0.122298388647079,0.8633948884283305,5.239583333333333,form_a,0.05628135259430084,1.9924323694364217,1.0672597015332224,0.4532834821878505
AGNews-LSTM,3,2,0.4457079075040561,-0.6999999999999993,0.1011747985253904,1.8056006205511983,0.2194751600773598,0.7278418937642077,25.74418604651163,form_a,-0.1081094553811914,0.819444151855498,0.9225435444272274,0.41118495276803474
AGNews-LSTM,4,0,0.4658485770879088,0.8000000000000007,0.0873468923045489,2.761222027666665,0.3339649591182765,0.7992753712789019,65.15384615384616,form_a,-0.008094230648504652,1.533089164219204,1.0097518236999363,0.47039145028253626
AGNews-LSTM,4,1,0.426543581524891,2.099999999999998,0.0474562977811125,1.109835739301838,0.0495044873589279,0.8633948884283305,5.239583333333333,form_a,0.04789530641998458,1.9325948792768197,1.0611289362126908,0.45261773691185875
AGNews-LSTM,4,2,0.4529786022758786,-0.3000000000000007,0.1011747985253904,1.912832803309028,0.1315053134686685,0.7278418937642077,25.74418604651163,form_a,-0.10198336982734235,0.8631560008515132,0.9291192400873726,0.4208711347224045
AGNews-LSTM,5,0,0.4647434176785932,0.8000000000000007,0.0873468923045489,3.2475586891577843,0.393459392888085,0.7992753712789019,65.15384615384616,form_a,0.011766231994596695,1.674800790087829,1.011570410164193,0.4701206896422433
